Description,Carriers,Total_Cancelled
DL,Delta Air Lines Inc.,107851
AA,American Airlines Inc.,105762
UA,United Air Lines Inc.,102066
MQ,American Eagle Airlines Inc.,96365
US,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),85866
WN,Southwest Airlines Co.,65549
NW,Northwest Airlines Inc.,59210
EV,Atlantic Southeast Airlines,27947
AS,Alaska Airlines Inc.,26667
CO,Continental Air Lines Inc.,26565
OO,Skywest Airlines Inc.,25924
HP,America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.),25402
OH,Comair Inc.,24986
DH,Independence Air,22176
XE,Expressjet Airlines Inc.,21483
TW,Trans World Airways LLC,11001
FL,AirTran Airways Corporation,6075
TZ,ATA Airlines d/b/a ATA,2080
B6,JetBlue Airways,1707
AQ,Aloha Airlines Inc.,1662
HA,Hawaiian Airlines Inc.,268
F9,Frontier Airlines Inc.,175
