"carrier","total"
"Frontier Airlines Inc.",175
"Hawaiian Airlines Inc.",268
"Aloha Airlines Inc.",1662
"JetBlue Airways",1707
"ATA Airlines d/b/a ATA",2080
"AirTran Airways Corporation",6075
"Trans World Airways LLC",11001
"Expressjet Airlines Inc.",21483
"Independence Air",22176
"Comair Inc.",24986
"America West Airlines Inc. (Merged with US Airways 9/05. Stopped reporting 10/07.)",25402
"Skywest Airlines Inc.",25924
"Continental Air Lines Inc.",26565
"Alaska Airlines Inc.",26667
"Atlantic Southeast Airlines",27947
"Northwest Airlines Inc.",59210
"Southwest Airlines Co.",65549
"US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.)",85866
"American Eagle Airlines Inc.",96365
"United Air Lines Inc.",102066
"American Airlines Inc.",105762
"Delta Air Lines Inc.",107851
